Subject,Start Date,Start Time,End Date,End Time,Description,Location,Private
Low Tide: -0.085 ft.,01/01/2021,04:09 AM,01/01/2021,04:39 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.316 ft.,01/01/2021,10:12 AM,01/01/2021,10:42 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.038 ft.,01/01/2021,05:06 PM,01/01/2021,05:36 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.174 ft.,01/01/2021,10:32 PM,01/01/2021,11:02 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.066 ft.,01/02/2021,04:49 AM,01/02/2021,05:19 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.329 ft.,01/02/2021,10:54 AM,01/02/2021,11:24 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.032 ft.,01/02/2021,05:54 PM,01/02/2021,06:24 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.202 ft.,01/02/2021,11:32 PM,01/03/2021,12:02 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.035 ft.,01/03/2021,05:37 AM,01/03/2021,06:07 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.343 ft.,01/03/2021,11:49 AM,01/03/2021,12:19 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.027 ft.,01/03/2021,06:43 PM,01/03/2021,07:13 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.243 ft.,01/04/2021,12:34 AM,01/04/2021,01:04 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.001 ft.,01/04/2021,06:32 AM,01/04/2021,07:02 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.361 ft.,01/04/2021,12:42 PM,01/04/2021,01:12 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: -0.017 ft.,01/04/2021,07:29 PM,01/04/2021,07:59 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.292 ft.,01/05/2021,01:22 AM,01/05/2021,01:52 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.039 ft.,01/05/2021,07:26 AM,01/05/2021,07:56 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.373 ft.,01/05/2021,01:26 PM,01/05/2021,01:56 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.000 ft.,01/05/2021,08:15 PM,01/05/2021,08:45 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.340 ft.,01/06/2021,02:06 AM,01/06/2021,02:36 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.080 ft.,01/06/2021,08:22 AM,01/06/2021,08:52 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.374 ft.,01/06/2021,02:08 PM,01/06/2021,02:38 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.022 ft.,01/06/2021,09:07 PM,01/06/2021,09:37 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.384 ft.,01/07/2021,02:56 AM,01/07/2021,03:26 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.114 ft.,01/07/2021,09:38 AM,01/07/2021,10:08 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.364 ft.,01/07/2021,02:59 PM,01/07/2021,03:29 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.043 ft.,01/07/2021,10:08 PM,01/07/2021,10:38 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.427 ft.,01/08/2021,03:57 AM,01/08/2021,04:27 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.129 ft.,01/08/2021,10:52 AM,01/08/2021,11:22 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.353 ft.,01/08/2021,04:12 PM,01/08/2021,04:42 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
Low Tide: 0.058 ft.,01/08/2021,11:01 PM,01/08/2021,11:31 PM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
High Tide: 0.474 ft.,01/09/2021,04:58 AM,01/09/2021,05:28 AM,"Tides from: http://tidesandcurrents.noaa.gov/tide_predictions.shtml.\nCalendar template created in dotNetCore by Brian Wharton","Location: 8654467 USCG Station Hatteras, NC",false
